OrderDate,Quantity,SalesAmount,Profit,Region,Category,CustomerID
2022-01-11,14,274.46,-34.58,East,Clothing,CUST_26
2022-01-11,7,355.57,40.56,South,Food,CUST_347
2022-01-11,3,32.89,131.43,South,Clothing,CUST_461
2022-01-12,14,331.29,-46.6,North,Clothing,CUST_380
2022-01-12,1,485.08,49.38,East,Furniture,CUST_89
2022-01-12,12,61.64,184.7,North,Electronics,CUST_266
2022-01-12,9,174.58,163.08,East,Clothing,CUST_324
2022-01-12,6,77.04,-9.08,West,Furniture,CUST_145
2022-01-12,7,434.18,125.78,South,Clothing,CUST_65
2022-01-12,12,179.88,76.22,West,Furniture,CUST_225
2022-01-12,4,188.0,99.05,South,Furniture,CUST_358
2022-01-12,12,425.57,-39.52,North,Electronics,CUST_349
2022-01-13,2,358.44,174.87,North,Electronics,CUST_149
2022-01-13,13,345.44,33.46,East,Food,CUST_495
2022-01-13,4,415.51,93.98,West,Clothing,CUST_80
2022-01-13,12,409.67,19.54,East,Clothing,CUST_255
2022-01-13,3,186.83,130.71,East,Furniture,CUST_365
2022-01-13,14,359.7,171.4,North,Furniture,CUST_186
2022-01-14,2,150.86,11.2,South,Food,CUST_442
2022-01-14,3,442.31,-35.25,East,Furniture,CUST_38
2022-01-14,9,108.9,29.23,West,Electronics,CUST_466
2022-01-14,10,261.04,2.57,East,Food,CUST_398
2022-01-15,1,387.79,110.39,South,Electronics,CUST_296
2022-01-15,11,119.16,11.79,South,Food,CUST_137
2022-01-15,4,175.51,138.25,East,Electronics,CUST_74
2022-01-15,2,354.34,2.07,West,Food,CUST_417
2022-01-15,12,365.21,77.64,South,Electronics,CUST_319
2022-01-16,12,82.75,99.53,North,Clothing,CUST_442
2022-01-16,13,87.95,96.56,West,Furniture,CUST_111
2022-01-16,13,92.96,151.23,North,Food,CUST_303
2022-01-17,1,317.62,99.44,East,Clothing,CUST_338
2022-01-17,13,213.77,-43.98,East,Electronics,CUST_227
2022-01-17,1,209.11,28.5,North,Electronics,CUST_239
2022-01-17,3,190.53,152.73,North,Clothing,CUST_198
2022-01-17,10,425.94,65.87,North,Food,CUST_241
2022-01-17,9,37.61,152.67,North,Clothing,CUST_444
2022-01-17,2,61.16,81.75,East,Electronics,CUST_387
2022-01-18,11,208.41,96.09,East,Furniture,CUST_415
2022-01-18,13,254.15,-22.4,West,Furniture,CUST_260
2022-01-19,14,145.42,167.89,East,Clothing,CUST_136
2022-01-19,1,312.47,56.45,South,Food,CUST_320
2022-01-19,14,258.41,44.36,South,Furniture,CUST_424
2022-01-19,1,471.35,5.18,East,Electronics,CUST_8
2022-01-19,3,131.49,91.15,East,Clothing,CUST_480
2022-01-19,14,168.58,-38.92,South,Electronics,CUST_81
2022-01-19,8,162.13,70.39,South,Clothing,CUST_73
2022-01-19,4,446.81,27.42,West,Food,CUST_178
2022-01-19,14,294.25,81.14,East,Food,CUST_181
2022-01-19,9,77.58,69.15,West,Electronics,CUST_85
2022-01-19,14,329.0,-44.46,South,Food,CUST_59
2022-01-20,1,263.47,97.76,South,Clothing,CUST_215
2022-01-20,2,402.82,61.44,East,Furniture,CUST_281
2022-01-21,4,322.65,-41.86,West,Electronics,CUST_101
2022-01-21,7,226.91,165.18,North,Furniture,CUST_383
2022-01-21,14,69.56,183.93,North,Furniture,CUST_161
2022-01-21,2,26.44,105.57,East,Electronics,CUST_381
2022-01-21,3,383.88,50.09,South,Food,CUST_281
2022-01-21,2,137.04,61.81,North,Clothing,CUST_301
2022-01-21,1,311.82,187.71,North,Furniture,CUST_32
2022-01-21,6,492.93,194.13,North,Clothing,CUST_448
2022-01-21,1,141.03,163.09,East,Food,CUST_343
2022-01-22,8,349.94,135.7,South,Electronics,CUST_267
2022-01-22,10,358.06,-19.19,South,Food,CUST_172
2022-01-22,3,280.9,-40.84,West,Electronics,CUST_16
2022-01-22,3,433.13,-25.13,East,Furniture,CUST_95
2022-01-22,12,242.03,-33.51,South,Food,CUST_191
2022-01-22,4,212.41,90.65,South,Electronics,CUST_392
2022-01-22,11,459.75,44.05,East,Food,CUST_43
2022-01-22,1,405.89,189.44,South,Clothing,CUST_210
2022-01-23,1,470.6,28.25,North,Electronics,CUST_333
2022-01-23,13,225.01,103.66,West,Furniture,CUST_9
2022-01-23,5,376.0,133.17,North,Furniture,CUST_284
2022-01-23,8,466.94,77.56,West,Food,CUST_357
2022-01-23,13,66.64,43.39,East,Food,CUST_38
2022-01-24,11,225.71,151.51,North,Electronics,CUST_428
2022-01-25,2,106.21,134.28,North,Furniture,CUST_51
2022-01-25,3,164.61,26.02,North,Furniture,CUST_377
2022-01-25,8,382.44,160.83,South,Clothing,CUST_189
2022-01-25,1,286.21,2.3,West,Clothing,CUST_385
2022-01-25,9,326.92,50.07,East,Clothing,CUST_457
2022-01-25,4,424.15,25.68,South,Food,CUST_245
2022-01-25,4,66.36,122.88,East,Electronics,CUST_188
2022-01-26,13,359.82,31.59,North,Clothing,CUST_462
2022-01-26,2,434.92,-10.27,West,Electronics,CUST_70
2022-01-26,9,265.97,157.4,North,Food,CUST_393
2022-01-26,12,490.84,49.8,East,Furniture,CUST_422
2022-01-27,14,104.79,93.43,South,Furniture,CUST_229
2022-01-27,6,449.87,-24.84,West,Electronics,CUST_101
2022-01-27,14,286.4,50.61,East,Furniture,CUST_6
2022-01-27,5,161.04,88.08,North,Clothing,CUST_252
2022-01-27,13,129.21,-2.53,North,Electronics,CUST_101
2022-01-28,7,421.24,16.18,East,Food,CUST_180
2022-01-28,5,216.93,91.41,East,Electronics,CUST_472
2022-01-28,3,421.15,106.48,East,Clothing,CUST_180
2022-01-28,6,198.17,-1.24,West,Furniture,CUST_248
2022-01-28,14,345.64,75.84,East,Food,CUST_164
2022-01-29,10,265.15,123.97,West,Furniture,CUST_280
2022-01-29,12,406.89,186.9,North,Clothing,CUST_455
2022-01-29,7,290.41,45.93,East,Clothing,CUST_435
2022-01-29,13,62.47,184.12,East,Furniture,CUST_492
2022-01-29,13,48.57,87.75,South,Furniture,CUST_122
2022-01-29,13,201.01,-25.49,East,Food,CUST_24
2022-01-29,11,314.36,90.99,North,Furniture,CUST_118
2022-01-29,4,137.52,166.11,East,Electronics,CUST_392
2022-01-30,4,292.56,-30.37,South,Furniture,CUST_333
2022-01-30,1,206.23,17.83,West,Electronics,CUST_174
2022-01-30,6,297.59,-15.0,South,Furniture,CUST_20
2022-01-31,1,212.67,-32.47,West,Food,CUST_260
2022-01-31,3,433.15,195.59,West,Clothing,CUST_305
2022-01-31,1,322.62,95.44,East,Clothing,CUST_230
2022-02-01,10,118.39,153.98,North,Furniture,CUST_121
2022-02-01,10,412.56,138.85,South,Food,CUST_140
2022-02-01,11,172.71,17.34,North,Food,CUST_409
2022-02-01,4,233.65,90.22,South,Clothing,CUST_87
2022-02-01,14,100.22,78.05,East,Food,CUST_205
2022-02-02,14,435.97,73.86,East,Food,CUST_75
2022-02-02,7,298.14,175.8,West,Furniture,CUST_354
2022-02-03,13,127.64,148.12,South,Electronics,CUST_65
2022-02-03,1,442.72,80.91,West,Food,CUST_1
2022-02-03,7,169.24,-23.38,East,Furniture,CUST_266
2022-02-03,1,140.38,44.9,West,Electronics,CUST_195
2022-02-04,3,76.71,21.3,South,Electronics,CUST_181
2022-02-04,1,286.26,198.77,South,Furniture,CUST_420
2022-02-04,3,386.03,117.94,North,Food,CUST_47
2022-02-04,10,25.69,26.81,East,Clothing,CUST_120
2022-02-04,2,271.4,-18.35,West,Electronics,CUST_383
2022-02-05,8,120.0,-17.3,South,Food,CUST_255
2022-02-05,11,421.77,61.35,East,Electronics,CUST_136
2022-02-05,13,126.94,55.52,North,Clothing,CUST_373
2022-02-05,12,86.19,24.98,North,Electronics,CUST_279
2022-02-05,4,90.76,170.56,North,Furniture,CUST_189
2022-02-06,1,422.57,25.63,South,Food,CUST_254
2022-02-06,8,476.03,160.43,West,Electronics,CUST_198
2022-02-06,5,426.35,-27.57,North,Food,CUST_408
2022-02-07,4,95.22,138.07,South,Clothing,CUST_52
2022-02-07,9,65.62,63.82,North,Clothing,CUST_194
2022-02-07,13,207.21,134.23,West,Furniture,CUST_225
2022-02-08,12,260.78,97.49,East,Clothing,CUST_274
2022-02-08,8,464.51,81.7,West,Clothing,CUST_366
2022-02-08,11,128.63,188.03,East,Food,CUST_251
2022-02-08,9,46.42,175.39,East,Clothing,CUST_291
2022-02-08,12,48.47,70.44,North,Food,CUST_106
2022-02-08,12,238.82,171.02,West,Food,CUST_475
2022-02-08,3,37.78,83.44,East,Electronics,CUST_466
2022-02-09,12,120.69,162.96,West,Electronics,CUST_190
2022-02-09,11,271.91,14.87,West,Clothing,CUST_259
2022-02-09,14,328.31,-38.9,North,Furniture,CUST_210
2022-02-09,3,484.14,24.59,West,Food,CUST_3
2022-02-09,14,375.45,-18.83,South,Clothing,CUST_287
2022-02-09,8,108.93,20.41,East,Furniture,CUST_44
2022-02-10,6,143.07,167.24,North,Electronics,CUST_305
2022-02-10,11,233.9,109.95,West,Furniture,CUST_160
2022-02-10,1,174.2,154.27,East,Clothing,CUST_4
2022-02-10,1,378.2,113.61,West,Furniture,CUST_86
2022-02-10,4,240.61,143.51,East,Electronics,CUST_12
2022-02-10,10,84.01,12.37,North,Clothing,CUST_392
2022-02-10,9,387.49,185.74,South,Electronics,CUST_499
2022-02-11,13,301.23,182.68,West,Food,CUST_50
2022-02-11,3,106.16,46.39,East,Electronics,CUST_498
2022-02-11,2,81.92,143.54,West,Furniture,CUST_268
2022-02-12,14,81.34,91.65,West,Electronics,CUST_269
2022-02-12,8,376.51,123.34,West,Electronics,CUST_93
2022-02-12,9,440.06,184.68,West,Food,CUST_416
2022-02-12,9,276.13,99.99,West,Clothing,CUST_182
2022-02-12,4,224.59,171.8,West,Clothing,CUST_130
2022-02-12,1,64.36,193.41,North,Clothing,CUST_407
2022-02-12,4,333.44,98.38,West,Clothing,CUST_116
2022-02-12,2,378.56,24.09,North,Food,CUST_310
2022-02-13,7,278.34,145.36,South,Electronics,CUST_93
2022-02-13,13,397.74,129.41,North,Food,CUST_24
2022-02-14,6,282.86,93.14,East,Food,CUST_264
2022-02-14,1,67.53,40.12,West,Electronics,CUST_280
2022-02-14,7,349.7,38.3,West,Food,CUST_96
2022-02-14,1,441.04,187.99,East,Electronics,CUST_205
2022-02-15,13,181.05,110.26,West,Clothing,CUST_253
2022-02-15,8,351.72,164.96,South,Furniture,CUST_482
2022-02-16,13,105.57,47.64,South,Clothing,CUST_74
2022-02-16,6,211.31,34.62,East,Clothing,CUST_144
2022-02-16,8,386.88,7.88,East,Electronics,CUST_493
2022-02-16,1,329.13,58.74,West,Electronics,CUST_312
2022-02-16,6,300.8,-4.61,South,Clothing,CUST_320
2022-02-17,13,122.84,39.07,South,Electronics,CUST_151
2022-02-17,5,318.12,41.68,East,Furniture,CUST_187
2022-02-17,4,227.0,133.2,North,Clothing,CUST_297
2022-02-17,9,141.44,166.74,East,Clothing,CUST_284
2022-02-18,7,377.95,106.45,North,Electronics,CUST_116
2022-02-18,10,48.74,161.5,South,Furniture,CUST_25
2022-02-18,5,375.08,116.13,North,Food,CUST_456
2022-02-18,6,376.36,53.46,East,Clothing,CUST_325
2022-02-19,6,280.26,5.86,East,Furniture,CUST_177
2022-02-19,6,29.27,161.48,West,Clothing,CUST_433
2022-02-19,2,489.28,67.58,West,Electronics,CUST_153
2022-02-19,13,114.46,48.34,East,Clothing,CUST_233
2022-02-19,12,161.73,134.69,East,Food,CUST_107
2022-02-20,1,71.95,-45.6,East,Food,CUST_354
2022-02-20,7,196.07,45.77,East,Electronics,CUST_291
2022-02-20,2,146.7,8.25,South,Clothing,CUST_109
2022-02-20,13,419.69,96.76,East,Furniture,CUST_59
2022-02-21,11,20.06,-6.01,West,Clothing,CUST_476
2022-02-21,2,137.84,132.59,North,Clothing,CUST_20
2022-02-21,11,166.6,22.98,South,Clothing,CUST_359
2022-02-21,14,400.79,15.99,South,Furniture,CUST_448
2022-02-22,3,180.41,146.27,West,Electronics,CUST_317
2022-02-22,14,390.92,185.4,South,Clothing,CUST_241
2022-02-22,6,73.03,111.45,West,Electronics,CUST_113
2022-02-22,10,142.87,92.95,North,Food,CUST_330
2022-02-23,6,127.92,-7.46,South,Furniture,CUST_199
2022-02-23,1,110.31,12.78,South,Furniture,CUST_261
2022-02-23,9,34.67,116.12,North,Food,CUST_40
2022-02-23,3,471.26,14.3,North,Furniture,CUST_327
2022-02-23,1,348.77,149.89,West,Food,CUST_426
2022-02-23,10,171.58,55.5,South,Furniture,CUST_167
2022-02-23,5,397.74,120.65,North,Clothing,CUST_199
2022-02-24,10,353.73,4.77,South,Food,CUST_32
2022-02-24,13,453.05,-8.2,East,Clothing,CUST_355
2022-02-24,2,182.55,189.25,West,Electronics,CUST_431
2022-02-24,2,127.29,83.21,East,Clothing,CUST_426
2022-02-24,7,315.81,109.91,North,Electronics,CUST_226
2022-02-25,5,23.87,93.47,East,Food,CUST_137
2022-02-25,9,131.29,176.7,West,Clothing,CUST_242
2022-02-25,4,275.17,156.2,North,Food,CUST_160
2022-02-25,1,449.11,88.26,North,Clothing,CUST_13
2022-02-25,14,412.58,33.88,West,Food,CUST_92
2022-02-26,10,82.75,95.32,North,Food,CUST_180
2022-02-26,2,452.01,124.75,North,Food,CUST_365
2022-02-26,14,488.14,74.77,North,Food,CUST_475
2022-02-26,12,244.0,109.72,South,Electronics,CUST_381
2022-02-26,4,323.02,87.72,East,Furniture,CUST_422
2022-02-27,11,372.39,7.02,West,Food,CUST_430
2022-02-27,3,52.43,67.58,South,Furniture,CUST_427
2022-02-27,11,204.78,154.57,East,Clothing,CUST_250
2022-02-27,13,483.02,46.47,South,Electronics,CUST_484
2022-02-27,10,436.43,31.13,South,Food,CUST_222
2022-02-27,2,220.08,-1.56,East,Furniture,CUST_209
2022-02-28,4,473.57,148.63,North,Furniture,CUST_484
2022-02-28,5,312.47,88.07,West,Electronics,CUST_480
2022-02-28,3,164.09,103.82,West,Clothing,CUST_4
2022-02-28,13,104.1,32.55,South,Food,CUST_84
2022-03-01,13,401.82,31.62,West,Electronics,CUST_72
2022-03-01,14,228.84,158.56,South,Clothing,CUST_356
2022-03-02,5,244.57,62.57,South,Electronics,CUST_66
2022-03-02,7,416.09,158.37,North,Furniture,CUST_150
2022-03-02,7,321.55,-42.24,South,Electronics,CUST_62
2022-03-02,14,409.62,159.18,South,Electronics,CUST_287
2022-03-02,5,90.82,-35.5,West,Furniture,CUST_128
2022-03-02,11,40.93,-13.7,South,Electronics,CUST_358
2022-03-02,9,358.57,127.45,North,Clothing,CUST_48
2022-03-03,14,368.77,91.98,East,Electronics,CUST_61
2022-03-03,7,415.36,5.55,West,Clothing,CUST_413
2022-03-03,10,96.89,50.46,East,Clothing,CUST_175
2022-03-04,4,109.0,-19.18,East,Furniture,CUST_39
2022-03-04,14,417.65,-37.12,East,Clothing,CUST_389
2022-03-04,7,300.2,38.27,West,Clothing,CUST_323
2022-03-05,11,346.28,9.3,East,Electronics,CUST_223
2022-03-05,9,298.99,164.93,South,Furniture,CUST_250
2022-03-05,1,162.42,23.4,West,Food,CUST_125
2022-03-06,10,269.03,53.94,East,Food,CUST_357
2022-03-06,7,142.58,195.39,North,Furniture,CUST_220
2022-03-06,11,407.92,175.73,East,Food,CUST_125
2022-03-06,7,431.41,98.92,East,Electronics,CUST_67
2022-03-06,13,301.82,178.43,North,Electronics,CUST_75
2022-03-07,2,71.15,-17.91,West,Food,CUST_473
2022-03-07,14,211.11,22.92,South,Electronics,CUST_226
2022-03-08,2,255.15,137.91,South,Clothing,CUST_206
2022-03-08,14,476.85,-30.62,North,Electronics,CUST_189
2022-03-08,1,467.57,-13.92,West,Furniture,CUST_313
2022-03-09,5,153.3,-15.65,North,Electronics,CUST_134
2022-03-09,6,165.32,-43.71,South,Clothing,CUST_89
2022-03-09,11,471.48,79.03,East,Clothing,CUST_241
2022-03-09,12,142.71,120.83,South,Clothing,CUST_475
2022-03-09,7,83.84,-4.77,North,Furniture,CUST_393
2022-03-10,9,434.27,9.4,South,Furniture,CUST_281
2022-03-10,5,203.8,155.93,West,Furniture,CUST_37
2022-03-10,12,238.84,23.25,North,Electronics,CUST_351
2022-03-10,14,309.86,195.88,North,Food,CUST_111
2022-03-10,8,301.63,37.8,West,Clothing,CUST_328
2022-03-11,10,478.1,34.83,North,Food,CUST_492
2022-03-11,2,498.96,30.24,West,Electronics,CUST_364
2022-03-12,1,479.26,171.88,South,Clothing,CUST_39
2022-03-12,6,371.41,13.81,North,Furniture,CUST_12
2022-03-12,13,226.07,163.41,North,Clothing,CUST_445
2022-03-13,3,91.09,-37.36,South,Furniture,CUST_59
2022-03-13,9,490.67,39.19,North,Furniture,CUST_220
2022-03-13,10,441.8,-45.48,North,Electronics,CUST_327
2022-03-13,8,172.62,127.95,South,Furniture,CUST_342
2022-03-13,3,485.35,190.19,West,Furniture,CUST_393
2022-03-13,10,126.22,-1.42,South,Clothing,CUST_421
2022-03-14,7,65.72,56.37,North,Furniture,CUST_224
2022-03-14,11,390.54,-46.8,West,Furniture,CUST_32
2022-03-14,4,289.19,62.7,East,Furniture,CUST_44
2022-03-14,10,195.84,88.59,West,Food,CUST_266
2022-03-14,14,426.92,92.49,West,Clothing,CUST_323
2022-03-14,13,234.21,20.83,South,Furniture,CUST_116
2022-03-14,12,187.05,73.69,North,Furniture,CUST_275
2022-03-14,6,140.12,118.1,South,Food,CUST_192
2022-03-14,9,438.36,17.71,East,Electronics,CUST_187
2022-03-15,11,387.46,131.52,North,Electronics,CUST_472
2022-03-15,10,200.98,135.68,East,Furniture,CUST_136
2022-03-15,7,197.63,29.37,North,Furniture,CUST_138
2022-03-15,9,51.06,64.1,West,Clothing,CUST_155
2022-03-16,2,427.42,-6.92,South,Food,CUST_86
2022-03-16,12,111.92,25.59,South,Electronics,CUST_374
2022-03-16,3,196.68,-43.54,West,Clothing,CUST_221
2022-03-16,12,40.15,-16.75,East,Clothing,CUST_101
2022-03-16,5,144.15,106.41,South,Food,CUST_495
2022-03-16,10,246.65,54.39,East,Clothing,CUST_63
2022-03-17,7,335.51,125.46,North,Clothing,CUST_422
2022-03-17,14,313.43,104.36,West,Clothing,CUST_434
2022-03-17,4,237.89,191.29,West,Furniture,CUST_163
2022-03-17,3,315.63,125.69,North,Clothing,CUST_194
2022-03-17,11,403.66,182.92,East,Clothing,CUST_239
2022-03-17,5,234.52,143.57,North,Electronics,CUST_382
2022-03-17,11,184.02,77.52,East,Clothing,CUST_214
2022-03-18,7,143.31,-49.14,South,Food,CUST_83
2022-03-18,13,66.06,98.75,North,Food,CUST_96
2022-03-19,10,378.01,162.16,North,Clothing,CUST_274
2022-03-19,13,452.35,-0.76,East,Food,CUST_132
2022-03-19,9,210.04,-48.08,East,Furniture,CUST_263
2022-03-19,13,222.38,93.17,West,Furniture,CUST_380
2022-03-19,2,412.54,73.38,South,Food,CUST_99
2022-03-19,10,311.7,109.66,West,Furniture,CUST_165
2022-03-20,14,234.05,75.77,West,Electronics,CUST_284
2022-03-20,4,116.15,107.48,West,Clothing,CUST_12
2022-03-20,10,169.87,117.96,South,Furniture,CUST_113
2022-03-20,2,24.79,144.97,East,Electronics,CUST_435
2022-03-20,3,428.58,146.09,West,Clothing,CUST_404
2022-03-20,1,62.13,134.04,North,Electronics,CUST_306
2022-03-20,6,63.01,131.34,East,Electronics,CUST_216
2022-03-21,2,31.11,76.56,East,Electronics,CUST_489
2022-03-22,7,225.5,143.88,South,Food,CUST_103
2022-03-23,7,479.51,188.02,North,Food,CUST_461
2022-03-23,7,98.07,131.38,East,Furniture,CUST_150
2022-03-23,8,498.66,128.76,West,Clothing,CUST_492
2022-03-23,10,120.99,42.74,South,Food,CUST_234
2022-03-24,11,274.2,170.17,East,Clothing,CUST_431
2022-03-24,9,172.11,170.13,West,Clothing,CUST_252
2022-03-24,1,209.72,27.68,East,Food,CUST_206
2022-03-24,6,166.95,181.42,South,Electronics,CUST_32
2022-03-24,2,369.3,-3.42,West,Furniture,CUST_365
2022-03-24,8,71.63,114.37,East,Furniture,CUST_325
2022-03-24,4,396.28,151.92,South,Electronics,CUST_56
2022-03-24,9,272.03,-15.39,East,Electronics,CUST_411
2022-03-25,2,244.42,41.38,South,Furniture,CUST_304
2022-03-25,13,391.48,76.3,East,Furniture,CUST_276
2022-03-25,14,303.35,76.82,South,Clothing,CUST_31
2022-03-26,9,227.64,51.21,North,Electronics,CUST_219
2022-03-26,2,323.07,164.93,South,Clothing,CUST_217
2022-03-26,11,123.43,-13.11,West,Food,CUST_83
2022-03-27,7,397.88,117.25,North,Food,CUST_34
2022-03-27,11,436.06,-11.54,North,Electronics,CUST_468
2022-03-27,6,240.16,141.68,West,Furniture,CUST_183
2022-03-27,14,27.49,33.28,West,Electronics,CUST_356
2022-03-28,12,87.63,-38.54,North,Food,CUST_403
2022-03-28,3,99.83,87.16,South,Clothing,CUST_411
2022-03-28,5,134.38,-31.79,West,Furniture,CUST_415
2022-03-28,10,320.07,-33.44,North,Clothing,CUST_430
2022-03-28,13,316.61,106.74,North,Food,CUST_471
2022-03-28,1,171.75,14.05,East,Clothing,CUST_256
2022-03-28,8,382.91,92.46,North,Furniture,CUST_380
2022-03-29,3,353.31,-10.73,South,Furniture,CUST_330
2022-03-29,11,447.35,-45.05,South,Food,CUST_400
2022-03-29,1,42.34,147.27,South,Food,CUST_0
2022-03-29,8,456.78,108.73,East,Food,CUST_211
2022-03-29,1,432.92,198.42,East,Food,CUST_6
2022-03-30,1,408.13,187.08,West,Food,CUST_331
2022-03-30,14,409.33,155.93,North,Furniture,CUST_387
2022-03-30,14,320.01,36.94,West,Electronics,CUST_279
2022-03-31,13,451.11,88.97,North,Furniture,CUST_126
2022-03-31,6,45.81,179.08,East,Food,CUST_235
2022-03-31,4,317.74,-4.35,East,Clothing,CUST_7
2022-03-31,14,301.85,57.78,North,Clothing,CUST_371
2022-03-31,6,465.23,129.65,North,Electronics,CUST_243
2022-03-31,12,339.43,-25.97,East,Electronics,CUST_234
2022-03-31,1,422.11,28.14,East,Clothing,CUST_185
2022-03-31,1,25.71,144.44,South,Clothing,CUST_386
2022-03-31,1,140.1,62.38,East,Clothing,CUST_426
2022-04-01,13,426.29,172.64,South,Electronics,CUST_464
2022-04-01,6,158.72,198.62,North,Furniture,CUST_496
2022-04-02,8,113.28,-44.33,West,Furniture,CUST_205
2022-04-02,10,142.01,-11.58,South,Electronics,CUST_213
2022-04-02,5,229.42,-48.15,East,Electronics,CUST_43
2022-04-02,8,236.01,-27.35,West,Furniture,CUST_322
2022-04-02,1,76.67,122.11,North,Furniture,CUST_358
2022-04-02,7,249.19,-21.82,North,Furniture,CUST_345
2022-04-02,11,242.0,102.2,East,Electronics,CUST_303
2022-04-03,13,138.0,72.34,West,Furniture,CUST_467
2022-04-03,6,71.5,102.47,South,Furniture,CUST_126
2022-04-03,2,338.51,110.61,South,Clothing,CUST_173
2022-04-03,14,82.82,86.61,North,Food,CUST_422
2022-04-03,8,192.48,59.55,North,Electronics,CUST_291
2022-04-03,2,388.92,10.13,North,Electronics,CUST_434
2022-04-03,2,381.19,22.86,South,Furniture,CUST_448
2022-04-04,1,259.78,12.1,East,Food,CUST_346
2022-04-05,2,253.67,60.93,West,Electronics,CUST_286
2022-04-05,9,276.86,-47.79,West,Clothing,CUST_324
2022-04-05,8,67.25,-26.98,East,Furniture,CUST_66
2022-04-05,13,304.37,-19.49,West,Electronics,CUST_120
2022-04-06,2,419.65,88.87,North,Clothing,CUST_443
2022-04-06,3,419.81,65.24,North,Clothing,CUST_406
2022-04-06,10,184.58,-40.8,South,Clothing,CUST_10
2022-04-06,8,221.16,125.48,North,Clothing,CUST_117
2022-04-06,8,325.74,33.84,East,Food,CUST_262
2022-04-07,10,30.62,126.76,South,Electronics,CUST_480
2022-04-07,12,210.46,128.71,North,Clothing,CUST_367
2022-04-08,3,193.5,-41.91,North,Food,CUST_206
2022-04-08,13,273.07,73.1,West,Clothing,CUST_92
2022-04-08,1,303.31,138.3,East,Electronics,CUST_31
2022-04-08,2,51.65,10.06,West,Food,CUST_195
2022-04-09,14,237.0,0.36,North,Electronics,CUST_205
2022-04-09,14,29.17,72.22,West,Electronics,CUST_17
2022-04-09,14,51.63,-2.31,West,Electronics,CUST_246
2022-04-09,7,459.98,63.02,West,Furniture,CUST_188
2022-04-09,7,191.06,146.5,West,Furniture,CUST_97
2022-04-10,2,327.21,197.15,East,Furniture,CUST_452
2022-04-10,5,127.7,107.37,West,Furniture,CUST_228
2022-04-11,4,337.55,-29.87,North,Electronics,CUST_185
